nodeid,root_cause,reason
tests/test_block.py::test_a_spec_refuses_connection_faces_on_anything_but_a_block_a_tank_or_a_vessel,block_error_wording,The rejection message correctly includes Junction and ConcreteBasin; restoring the older owner list would omit supported classes.
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[03_distillation_train],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[08_from_data],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[09_line_numbers],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[15_condensing_turbine],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[18_fixed_bed_recycle],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_gallery.py::test_the_committed_sheet_is_what_the_example_draws_today[21_alumina_refinery],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_a_version_bump_does_not_move_a_fixture,svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_golden_svg[03_distillation_train],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_golden_svg[08_from_data],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_golden_svg[09_line_numbers],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_golden_svg[15_condensing_turbine],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_golden_svg[18_fixed_bed_recycle],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_golden_svg[21_alumina_refinery],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[03_distillation_train],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[08_from_data],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[09_line_numbers],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[15_condensing_turbine],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[18_fixed_bed_recycle],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_golden.py::test_the_example_draws_the_same_sheet_as_its_fixture[21_alumina_refinery],svg_fixtures,Six scenarios have identical pre-existing SVG byte comparisons failing across golden/example/gallery tests; version-bump normalization succeeds then hits the same stale 03 fixture. First differences are title positioning/width and page bounds. No committed fixture was regenerated.
tests/test_line_weight.py::test_every_symbol_declares_a_pen_centred_on_the_sheet_weight,junction_stroke,"The universal pen assertion requires an authored stroke, but test_drawio explicitly requires none for the filled junction dot. Preserve the existing dot contract; all 245 outlined symbols pass the native pen check."
tests/test_show.py::test_the_window_draws_the_sheet_scaled_to_the_window,preview_dependency,The GUI/SVG preview is outside the requested native draw.io PDF workflow and was explicitly deferred.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-0.4x1.7],svg_quadratic_direct,Direct SVG _baked still lacks anisotropic quadratic-path rewriting; native draw.io retains the original quadratic stencil.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-1.0x2.5],svg_quadratic_direct,Direct SVG _baked still lacks anisotropic quadratic-path rewriting; native draw.io retains the original quadratic stencil.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-2.0x1.0],svg_quadratic_direct,Direct SVG _baked still lacks anisotropic quadratic-path rewriting; native draw.io retains the original quadratic stencil.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[airlift/default-3.0x0.5],svg_quadratic_direct,Direct SVG _baked still lacks anisotropic quadratic-path rewriting; native draw.io retains the original quadratic stencil.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-0.4x1.7],junction_bake,Direct SVG filled-dot baking is outside the native draw.io path; no renderer special case was added.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-1.0x2.5],junction_bake,Direct SVG filled-dot baking is outside the native draw.io path; no renderer special case was added.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-2.0x1.0],junction_bake,Direct SVG filled-dot baking is outside the native draw.io path; no renderer special case was added.
tests/test_symbol_invariants.py::test_a_symbol_redrawn_at_a_new_size_draws_the_ink_it_was_drawn_from[junction/default-3.0x0.5],junction_bake,Direct SVG filled-dot baking is outside the native draw.io path; no renderer special case was added.
tests/test_symbol_invariants.py::test_every_drawing_survives_being_scaled[airlift/default],svg_quadratic_direct,Direct SVG _baked still lacks anisotropic quadratic-path rewriting; native draw.io retains the original quadratic stencil.
tests/test_symbol_invariants.py::test_every_vendored_kind_is_named_in_the_module_docstring,vendored_source_inventory,The assertion fails in its own _VENDORED_SOURCE_WORDS mapping before checking the docstring. Runtime liquid-screen registration and native stencil resolution work.
tests/test_symbol_invariants.py::test_port_faces_lie_on_drawn_geometry[airlift/default],airlift_open_mouth,Keep the fluid port centred in the open mouth; no stroke-proximity exemption was added.
tests/test_symbol_invariants.py::test_ports_land_on_drawn_ink_at_any_box_shape[airlift/default],svg_quadratic_fixture,Setup already passes at the supplied baseline; the retained assertion rejects the correct airlift open-mouth centreline. No exemption was added.
tests/test_symbol_invariants.py::test_ports_lie_on_drawn_geometry[airlift/default],airlift_open_mouth,Keep the fluid port centred in the open mouth; no stroke-proximity exemption was added.
tests/test_symbol_invariants.py::test_svg_is_well_formed_and_declares_stroke_width[junction/default],junction_stroke,A filled connection dot has no authored outline. Requiring a stroke-width declaration on that marker needs reconciliation with the retained filled-dot contract.
tests/test_symbol_invariants.py::test_variants_lists_a_kinds_catalogue_default_first,tank_variant_inventory,Registry.variants correctly lists the two supported additions after default. Removing valid variants to match the old literal would be a regression.
tests/test_tee.py::test_the_junction_is_the_only_symbol_drawn_as_bare_pipe,bare_pipe_inventory,Junction and Tee both legitimately represent bare connected pipe; the old inventory assertion excludes Junction.
