nodeid,baseline_outcome,final_outcome,failure_set_change,root_cause,affects_our_drawio_workflow,evidence,final_note
tests/test_symbol_invariants.py::test_port_faces_lie_on_drawn_geometry[airlift/default],FAILED,failed,retained,airlift_open_mouth,no,"Airlift liquid_in=(22.5,60) is centred between riser walls x=17.5/27.5; discharge=(45,12) is between y=7/17. These open mouths intentionally put fluid ports off wall ink, like the existing pump/compressor exemptions. Moving a fluid port onto a wall would be wrong.",
tests/test_symbol_invariants.py::test_ports_lie_on_drawn_geometry[airlift/default],FAILED,failed,retained,airlift_open_mouth,no,"Airlift liquid_in=(22.5,60) is centred between riser walls x=17.5/27.5; discharge=(45,12) is between y=7/17. These open mouths intentionally put fluid ports off wall ink, like the existing pump/compressor exemptions. Moving a fluid port onto a wall would be wrong.",
tests/test_argument_contract.py::test_an_argument_that_is_accepted_is_capable_of_changing_something[spec:balloon:area],FAILED,passed,removed,balloon_area,yes,The reader now forwards area. add_balloon permits corroborating the element area and rejects changing only one mark of a shared instrument identity; applies to magnetic FIT assemblies.,
tests/test_tee.py::test_the_junction_is_the_only_symbol_drawn_as_bare_pipe,FAILED,failed,retained,bare_pipe_inventory,no,Both tee/default and junction/default legitimately carry bare_run. House Junction must stay bare pipe for BFD/PFD/P&ID connectivity; removing that behavior would be wrong.,
tests/test_block.py::test_a_spec_refuses_connection_faces_on_anything_but_a_block_a_tank_or_a_vessel,FAILED,failed,retained,block_error_wording,no,Pump(inputs=2) is correctly rejected; the message now truthfully includes Junction and ConcreteBasin. Restoring the old owner list would make the diagnostic incomplete.,
tests/test_symbol_invariants.py::test_port_faces_lie_on_drawn_geometry[blower/gas],FAILED,passed,removed,blower_port,yes,vendor_data/drawio/pumps.xml Gas Blower mouth is y=0..19.75 at x=0; old suction y=35 is blank. The corrected midpoint y=9.875 is used by native constraints as well as SVG.,
tests/test_symbol_invariants.py::test_ports_lie_on_drawn_geometry[blower/gas],FAILED,passed,removed,blower_port,yes,vendor_data/drawio/pumps.xml Gas Blower mouth is y=0..19.75 at x=0; old suction y=35 is blank. The corrected midpoint y=9.875 is used by native constraints as well as SVG.,
tests/test_argument_contract.py::test_every_public_entry_point_is_exercised_or_declared_out_of_reach,FAILED,passed,removed,contain_coverage,no,"This is coverage bookkeeping, not failed runtime containment. Added a real containment call to the harness because basin internals are part of the process workflow; no unexercised exemption was added.",
tests/test_devices.py::test_the_pages_quote_the_registry_they_are_describing,FAILED,failed,retained,device_docs,no,docs/api.md owner table lacks the 17 additions and README says 229 against 246 registered symbols. These documentation assertions do not execute the native writer.,
tests/test_devices.py::test_the_variants_table_gives_every_drawing_exactly_one_owner,FAILED,failed,retained,device_docs,no,docs/api.md owner table lacks the 17 additions and README says 229 against 246 registered symbols. These documentation assertions do not execute the native writer.,
